word	count	sources	reason	engine
দেওতলা	1	places	normalized_variant	দোতলা
উমাজুরী	1	places	normalized_variant	উমাজুড়ি
পাংতুমাই	1	places	already_resolves	পাংতুমাই
বিছানাকান্দি	1	places	normalized_variant	বিছনাকান্দি
সিধলা	1	places+unions	already_resolves	সিধলা
লামচর	6	places	already_resolves	লামচর
কেপিজে	1	places	already_resolves	কেপিজে
লাউতলী	1	places	already_resolves	লাউতলী
আলিনগর	1	places	normalized_variant	আলীনগর
আ্যন্ড	1	places	normalized_variant	অ্যন্ড
স্মরনী	1	places	normalized_variant	স্মরণী
মোহবুল্লাহ	1	places	normalized_variant	মহিবুল্লাহ
আক্কেলপুরী	1	places	normalized_variant	আক্কেলপুর
রাহাতননেছা	1	places	already_resolves	রাহাতননেছা
মাহ্তাব	1	places	normalized_variant	মাহতাব
রুবেয়া	1	places	already_resolves	রুবেয়া
দত	7	places+people	normalized_variant	ডট
দারুচ্ছুন্নাত	1	places	normalized_variant	দারুচ্ছুন্নাহ
ইনজিনিয়ারিং	1	places	normalized_variant	ইঞ্জিনিয়ারিং
সাইন্স	5	places+people	already_resolves	সাইন্স
সিদ্দীকিয়া	1	places	normalized_variant	সিদ্দিকিয়া
নুমানিয়া	1	places	already_resolves	নুমানিয়া
ইকনমিক্স	1	places	normalized_variant	ইকোনমিক্স
সূয়াপুর	1	places	normalized_variant	সুয়াপুর
কাসেমিয়া	1	places	normalized_variant	কাশেমিয়া
সুসং	6	places	normalized_variant	সুসঙ্গ
নাঙ্গুলী	1	places	normalized_variant	নাঙ্গল
খন্ডল	10	places	normalized_variant	খোঁদল
করমজি	1	places	already_resolves	করমজি
স্কলাস্টিক	1	places	normalized_variant	স্কলাস্টিকা
রশীদিয়া	1	places	normalized_variant	রশিদিয়া
চরফ্যাসন	1	places	normalized_variant	চরফ্যাশন
জিন্নাগড়	1	places+unions	normalized_variant	জিন্নাহর
নুরীয়া	1	places	normalized_variant	নুরিয়া
বুনাগাতী	1	places+unions	normalized_variant	বুনাগাতি
হাঁসাড়া	1	places	normalized_variant	হাসাড়া
রেসিডেনসিয়্যাল	1	places	normalized_variant	রেসিডেনসিয়াল
রউফিয়া	1	places	normalized_variant	রহিয়া
আমিনিয়া	6	places	already_resolves	আমিনিয়া
বিল্লী	1	places	normalized_variant	বিলি
বারিন্দ	1	places	normalized_variant	বারিদ
ফাকল	1	places	normalized_variant	ফাঁক
জসমুদ্দিন	1	places	normalized_variant	জসিমুদ্দিন
বানিয়াগাঁতি	1	places	normalized_variant	বানিয়াগাতী
শেরখালী	1	places	normalized_variant	সাহেরখালী
বাদেদেওরাইল	1	places	already_resolves	বাদেদেওরাইল
বড়খাল	1	places	normalized_variant	বোরখা
সাদরা	1	places	normalized_variant	সাদর
হামীদিয়া	1	places	normalized_variant	হামিদিয়া
তানযীমুল	1	places	normalized_variant	তানজিমুল
মিছবাহুল	1	places	already_resolves	মিছবাহুল
উলূম	6	places	already_resolves	উলূম
করিমিয়া	1	places	normalized_variant	ক্রিমিয়া
বুজর্গ	1	places	normalized_variant	বুজুর্গ
পিয়ারিয়া	1	places	already_resolves	পিয়ারিয়া
কাদেরীয়া	1	places	normalized_variant	কাদেরিয়া
বয়রাট	1	places	normalized_variant	বয়রা
ছারছিনা	1	places	normalized_variant	ছাড়ছিনা
এনপিআই	1	places	normalized_variant	এনপি
ধীপুর	1	places	normalized_variant	দীপুর
বছিরননেছা	1	places	already_resolves	বছিরননেছা
আযহার	1	places	normalized_variant	আজহার
আফফান	1	places	already_resolves	আফফান
মুছলিম	1	places	already_resolves	মুছলিম
মৃত্তিকাবিজ্ঞানী	1	places	normalized_variant	মৃত্তিকাবিজ্ঞান
আজীমুদ্দীন	1	places	normalized_variant	আজিমুদ্দিন
হানাফী	1	places	already_resolves	হানাফী
জালিয়ার	1	places	already_resolves	জালিয়ার
ব্যাংডেপা	1	places	normalized_variant	ব্যাংদাহ
শিরীণ	1	places	normalized_variant	শিরীন
হামযাহ	1	places	normalized_variant	হামযা
তীর্থধাম	1	places	normalized_variant	তীর্থভূমি
পাঞ্জিরি	6	places+objects	normalized_variant	পাঁজির
চন্ডীমুড়া	1	places	normalized_variant	চণ্ডীমূড়া
চিতোড্ডা	1	places	normalized_variant	চিতড্ডা
ভাউকসার	8	places	already_resolves	ভাউকসার
রাজকালী	1	places	normalized_variant	রায়কালী
রূপবানী	1	places	already_resolves	রূপবানী
লতিকোট	1	places	normalized_variant	লতিকা
লধ	1	places	normalized_variant	লোধ
উদদিন	1	places	normalized_variant	উদদীন
এআরএম	1	places	normalized_variant	এআরএ
পীরজী	1	places	already_resolves	পীরজী
সফিকউল্লাহ	1	places	normalized_variant	শফিকউল্ল্যাহ
আমীমী	1	places	normalized_variant	আমিই
শাদাত	1	places	normalized_variant	শাদা
সত্যসাধন	1	places	normalized_variant	সত্যসাধক
সাক্কু	1	places	normalized_variant	সেক
চাদউইক	1	places	normalized_variant	চ্যাডউইক
আসেলা	1	places	normalized_variant	সেলা
গুণারত্নে	1	places	normalized_variant	গুনারত্নে
আসহার	1	places	normalized_variant	আশার
নারাইন	1	places	already_resolves	নারাইন
ডোয়েন	1	places	normalized_variant	ডয়েন
মানরো	1	places	normalized_variant	ম্যানর
মিরে	1	places	normalized_variant	মাইর
এভিন	1	places	already_resolves	এভিন
কৃষমার	1	places	normalized_variant	কারিশমার
স্যান্তোকি	1	places	normalized_variant	স্যান্তোস
বানিয়াকান্দী	1	places	already_resolves	বানিয়াকান্দী
গ্রামবার্ত্তা	1	places	normalized_variant	গ্রামবার্তা
তকবাক	1	places	already_resolves	তকবাক
তুয়ারি	1	places	already_resolves	তুয়ারি
মাইরাং	1	places	already_resolves	মাইরাং
তৈছামা	1	places	already_resolves	তৈছামা
তৈলাফাং	1	places	already_resolves	তৈলাফাং
পুখিরি	1	places	already_resolves	পুখিরি
তৈসা	1	places	normalized_variant	টয়সা
আনুচিং	1	places	already_resolves	আনুচিং
সুপ্রদীপ	1	places	normalized_variant	সুপ্রতিম
কাজিবাছা	1	places	normalized_variant	কাজীবাছা
শোলমারি	1	places	normalized_variant	শোলমারী
ধামালিয়া	5	places+unions	normalized_variant	ঢালিয়া
চান্নির	1	places	normalized_variant	চেয়ার
সেনহাটী	1	places	normalized_variant	সেনহাটি
কর্ণপুর	1	places	normalized_variant	কর্ণপূরক
সামন্তসেনা	1	places	normalized_variant	সামোন্তসেনা
মাস্তা	5	places	already_resolves	মাস্তা
নাবিব	1	places	normalized_variant	আবিব
কাকশিয়ালী	1	places	already_resolves	কাকশিয়ালী
কালজানি	1	places	already_resolves	কালজানি
কোহেলিয়া	5	places	normalized_variant	খেলিয়া
খিরো	1	places	normalized_variant	হিরো
ঠেগা	1	places	normalized_variant	থেটা
তোর্ষা	1	places	normalized_variant	বর্ষা
আন্তঃসীমান্ত	1	places	normalized_variant	আন্তসীমান্ত
রহমতখালি	1	places	normalized_variant	রহমতখালী
রাংপানি	1	places	already_resolves	রাংপানি
অর্জুনদাড়া	1	places	normalized_variant	অর্জুনতলার
আগরপুল	1	places	already_resolves	আগরপুল
আঠারবাঁকি	1	places	normalized_variant	আঠারোবাঁকি
আনৈতারা	1	places	normalized_variant	আনাইতারা
আমজুরি	1	places	normalized_variant	মজুরি
আরমাল	1	places	normalized_variant	আরমা
আলোকছত্রা	1	places	normalized_variant	আলোকছটা
আশাউড়া	1	places	normalized_variant	আশুরা
আসালং	1	places	normalized_variant	আশালং
কগাবগা	1	places	already_resolves	কগাবগা
কহেরা	1	places	already_resolves	কহেরা
গন্দর	1	places	normalized_variant	অন্দর
জিডাই	1	places	normalized_variant	জিডিআই
তিরনই	1	places	normalized_variant	তীরনই
ধূপিখালী	1	places	already_resolves	ধূপিখালী
ধূলিয়া	1	places	normalized_variant	ধুলিয়া
নোয়াখাল	1	places	normalized_variant	নয়াখাল
বাজুরা	1	places	already_resolves	বাজুরা
রাইলান	1	places	already_resolves	রাইলান
লাউরী	1	places	already_resolves	লাউরী
কংসাবতী	1	places	already_resolves	কংসাবতী
কেলেঘাই	1	places	already_resolves	কেলেঘাই
দ্বারকেশ্বর	1	places	normalized_variant	দ্বারকেশ
রাম্মাম	1	places	normalized_variant	রামা
শিলাই	1	places	normalized_variant	সিলাই
ইরামতি	1	places	already_resolves	ইরামতি
গুকসী	1	places	already_resolves	গুকসী
আফ্রা	1	places	already_resolves	আফ্রা
বেসানী	1	places	normalized_variant	বোসন
ভাদাই	1	places+unions	normalized_variant	বাদাই
ঘড়িয়া	1	places	normalized_variant	গড়িয়া
ঘাসিয়াখালী	1	places	already_resolves	ঘাসিয়াখালী
জঙ্গমু	1	places	already_resolves	জঙ্গমু
বগীবিল	1	places	already_resolves	বগীবিল
হিশনা	5	places	normalized_variant	হিসনা
ঝাঞ্চা	5	places	normalized_variant	ঝাঁটা
কম্পো	1	places	normalized_variant	কম্প
দেওলা	1	places	already_resolves	দেওলা
প্রাণসায়র	1	places	normalized_variant	প্রাণসংহার
কালুদাহা	1	places	already_resolves	কালুদাহা
বান্নী	1	places	normalized_variant	ন্যানি
বৈরান	1	places	normalized_variant	বিরান
নওয়াজেস	1	places	normalized_variant	নওয়াজেশ
মুহিউল	1	places	already_resolves	মুহিউল
রণিখাই	2	unions	normalized_variant	রনিখাই
দীর্ঘাপাড়	7	unions	normalized_variant	দীর্ঘাকার
বরাহীপুর	1	unions	already_resolves	বরাহীপুর
বাঞ্চানগর	1	unions	normalized_variant	বাঞ্ছানগর
বাটাজোড়া	8	unions	normalized_variant	বাটাজোর
হরণী	1	unions	normalized_variant	হরনী
হুদ্রাখালী	7	unions	already_resolves	হুদ্রাখালী
জিয়ারখি	6	unions	normalized_variant	জিয়ারখী
খলিষাকুন্ডি	1	unions	normalized_variant	খলিশাকুন্ডি
রেফাইতপুর	1	unions	already_resolves	রেফাইতপুর
তালবাড়ীয়া	1	unions	normalized_variant	তালবাড়িয়া
ধুবইল	1	unions	normalized_variant	ধুবিল
ভান্ডারপাড়া	1	unions	normalized_variant	ভাণ্ডারপাড়া
রুদাঘরা	1	unions	already_resolves	রুদাঘরা
আইলহাঁস	5	unions	normalized_variant	আইলহাস
চিৎলা	5	unions	normalized_variant	চিতলা
ভাংবাড়ীয়া	1	unions	normalized_variant	ভাংবাড়িয়া
আন্দুলবাড়ীয়া	11	unions	normalized_variant	আন্দুলবাড়িয়া
কেডিকে	1	unions	already_resolves	কেডিকে
কুড়ুলগাছী	1	unions	normalized_variant	কুড়ুলগাছি
বারবাজার	1	unions	normalized_variant	বারোবাজার
দোড়া	1	unions	normalized_variant	ডরা
পোড়াহাটী	1	unions	normalized_variant	পরাহত
ফুরসন্দি	1	unions	already_resolves	ফুরসন্দি
হরিশংকরপুর	1	unions	normalized_variant	হরিশঙ্করপুর
কাপাশহাটিয়া	1	unions	normalized_variant	কাপাসহাটিয়া
ফলসী	1	unions	already_resolves	ফলসী
হাচলা	1	unions	already_resolves	হাচলা
মাউলী	1	unions	normalized_variant	মৌলী
হবখালি	1	unions	normalized_variant	হবখালী
লক্ষীপাশা	1	unions	normalized_variant	লক্ষ্মীপাশা
চরবানিয়ারী	1	unions	already_resolves	চরবানিয়ারী
নলধা	1	unions	already_resolves	নলধা
পুটিখালী	1	unions	normalized_variant	পুঁটিখালী
মল্লিকেরবেড়	1	unions	normalized_variant	মল্লিকপুরের
গোপালগ্রাম	1	unions	normalized_variant	গোয়ালগ্রাম
মঘী	1	unions	normalized_variant	মহী
শত্রুজিৎপুর	1	unions	normalized_variant	শত্রুজিত্পুর
ধনেশ্বরগাতী	1	unions	normalized_variant	ধনেশ্বরগাতি
সব্দালপুর	1	unions	already_resolves	সব্দালপুর
তেতুঁলবাড়ীয়া	1	unions	normalized_variant	তেঁতুলবাড়ীয়া
বামন্দী	1	unions	normalized_variant	বামনী
মোনখালী	1	unions	normalized_variant	মনখালী
আমদহ	1	unions	normalized_variant	আমদাহ
ধুলিয়ানী	1	unions	already_resolves	ধুলিয়ানী
সিংহঝুলী	1	unions	normalized_variant	সিংহঝুলি
স্বরুপদাহ	1	unions	normalized_variant	স্বরূপদাহ
ধলগ্রাম	1	unions	normalized_variant	হলোগ্রাম
বাসুয়াড়ী	1	unions	normalized_variant	বাউয়ার
দুর্বাডাঙ্গা	1	unions	normalized_variant	দূর্বাডাঙ্গা
ভোজগাতি	1	unions	normalized_variant	ভোজগাতী
চুড়ামনকাটি	1	unions	normalized_variant	চূড়ামনকাটি
দেয়ারা	1	unions	normalized_variant	দেয়াড়া
আওরাবুনিয়া	5	unions+places	normalized_variant	আওড়াবুনিয়া
সিদ্ধকাঠী	1	unions	normalized_variant	সিদ্ধকাঠি
জৈনকাঠী	1	unions	normalized_variant	জৈনকাঠি
সূর্য্যমনি	1	unions	normalized_variant	সূর্যকান্দি
কাঁকড়াবুনিয়া	1	unions	normalized_variant	কাকড়াবুনিয়া
পত্তাশি	1	unions	normalized_variant	পত্তাশী
শ্রীরামকাঠী	1	unions	normalized_variant	শ্রীরামকাঠি
দৈহারী	1	unions	normalized_variant	দৈহারি
ইকড়ী	1	unions	normalized_variant	ইকরী
চাঁদপুরা	1	unions	normalized_variant	চাঁদপুর
কড়াপুর	1	unions	normalized_variant	করাপুর
সায়েস্তাবাদ	1	unions	normalized_variant	শায়েস্তাবাদ
চরাদি	1	unions	normalized_variant	চড়াই
দুর্গাপাশা	1	unions	normalized_variant	দুর্গাপাড়ায়
ইলুহার	1	unions	already_resolves	ইলুহার
উদয়কাঠী	1	unions	normalized_variant	উদয়কাঠি
সলিয়াবাকপুর	1	unions	already_resolves	সলিয়াবাকপুর
দেহেরগতি	1	unions	normalized_variant	ধীরগতি
কালেখাঁ	1	unions	normalized_variant	কালেখা
দড়িরচর	1	unions	normalized_variant	দরিরচর
ভাষাণচর	1	unions	normalized_variant	ভাসানচর
গৌরাব্দি	1	unions	already_resolves	গৌরাব্দি
কুকরী	1	unions	normalized_variant	কুকরি
মুকরী	1	unions	normalized_variant	মুকরি
টবগী	1	unions	normalized_variant	টবগি
সাচড়া	1	unions	normalized_variant	ছ্যাঁচড়া
পাথর্শী	1	unions	normalized_variant	পাথরখণ্ডটি
বেলগাছা	1	unions	already_resolves	বেলগাছা
সাপধরী	1	unions	already_resolves	সাপধরী
ইটাইল	1	unions	normalized_variant	টাইল
তুলশীরচর	1	unions	normalized_variant	তুলসীরচর
চুকাইবাড়ী	1	unions	normalized_variant	চুকাইবার
হাতীভাঙ্গা	1	unions	normalized_variant	হাতিভাঙ্গা
গুনারীতলা	1	unions	normalized_variant	গুনারিতলা
বানিপাকুরিয়া	1	unions	normalized_variant	বাণীপাকুরিয়া
ফুলকোচা	1	unions	normalized_variant	ফুলকোঁচা
দুওজ	1	unions	normalized_variant	দুঅজ
লুনেশ্বর	1	unions	normalized_variant	লুন্ডবার্গ
সুখারী	1	unions	already_resolves	সুখারী
দলপা	1	unions	already_resolves	দলপা
সান্দিকোণা	1	unions	normalized_variant	সান্দিকোনা
মেন্দিপুর	1	unions	already_resolves	মেন্দিপুর
কুল্লাগড়া	1	unions	normalized_variant	কুল্লাপাড়া
চণ্ডিগড়	1	unions	normalized_variant	চণ্ডীগড়
কাইলাটি	1	unions	already_resolves	কাইলাটি
বিশিউরা	1	unions	already_resolves	বিশিউরা
মেদনী	1	unions	normalized_variant	মেদান
বিশকাকুনী	1	unions	normalized_variant	বিশকাকুনি
চিরাম	1	unions	normalized_variant	চিড়া
তিয়শ্রী	1	unions	already_resolves	তিয়শ্রী
গাগলাজুর	1	unions	already_resolves	গাগলাজুর
বানিহারী	1	unions	normalized_variant	বানিহাড়ী
সিয়াদার	1	unions	already_resolves	সিয়াদার
মাইজবাগ	1	unions	already_resolves	মাইজবাগ
বারবাড়িয়া	1	unions	normalized_variant	বারবারিয়া
যশরা	1	unions	already_resolves	যশরা
রাওনা	1	unions	normalized_variant	রায়না
অচিন্তপুর	1	unions	normalized_variant	অচিন্ত্যপুর
ভাংনামারী	1	unions	already_resolves	ভাংনামারী
বানিহালা	1	unions	already_resolves	বানিহালা
বালিখা	1	unions	normalized_variant	বালিকা
বিসকা	1	unions	normalized_variant	বিশোকা
টাংগাব	1	unions	normalized_variant	টাঙাব
দত্তেরবাজার	1	unions	normalized_variant	দত্তপরিবারের
পাইথল	1	unions	already_resolves	পাইথল
মুশুল্লী	1	unions	normalized_variant	মুসুল্লি
কালাদহ	1	unions	already_resolves	কালাদহ
দেওখোলা	1	unions	normalized_variant	দেখলা
বাক্তা	1	unions	normalized_variant	বাঁকটা
উথুরা	1	unions	already_resolves	উথুরা
বিরুনিয়া	1	unions	already_resolves	বিরুনিয়া
অষ্টধার	1	unions	normalized_variant	অষ্টধর
নিলক্ষিয়া	1	unions	normalized_variant	নিলক্ষ্যা
পরাণগঞ্জ	1	unions	normalized_variant	পরানগঞ্জ
সিরতা	1	unions	normalized_variant	শিরোটা
বাঁশাটি	1	unions	normalized_variant	বাসাটি
কৈচাপুর	1	unions	already_resolves	কৈচাপুর
জুগলী	1	unions	already_resolves	জুগলী
শাকুয়াই	1	unions	already_resolves	শাকুয়াই
মালিঝিকান্দা	1	unions	already_resolves	মালিঝিকান্দা
টালকী	1	unions	already_resolves	টালকী
ঘুঘুরাকান্দি	1	unions	already_resolves	ঘুঘুরাকান্দি
লছমনপুর	1	unions	already_resolves	লছমনপুর
তাতীহাটি	1	unions	normalized_variant	তাঁতীহাটি
রনচন্ডি	1	unions	normalized_variant	রণচণ্ডী
খগা	1	unions	normalized_variant	হোগা
পাংগা	1	unions	normalized_variant	পাঙ্গা
ভোগডাবুড়ী	1	unions	normalized_variant	ভোগডাবুরী
তোড়িয়া	1	unions	normalized_variant	ওড়িয়া
ধামোর	1	unions	normalized_variant	ধামার
পামুলী	1	unions	already_resolves	পামুলী
গড়িনাবাড়ী	1	unions	normalized_variant	গরিনাবাড়ি
আলমবিদিতর	1	unions	already_resolves	আলমবিদিতর
শানেরহাট	1	unions	normalized_variant	সানেরহাট
রাণীপুকুর	1	unions	normalized_variant	রানীপুকুর
সদ্যপুস্করণী	1	unions	normalized_variant	সদ্যপুষ্করিণী
গোড়ল	1	unions	normalized_variant	গরল
চলবলা	1	unions	already_resolves	চলবলা
তুষভান্ডার	10	unions+places	normalized_variant	তুষভাণ্ডার
দলগ্রাম	1	unions	normalized_variant	হলোগ্রাম
মদাতী	1	unions	already_resolves	মদাতী
কুচলীবাড়ী	1	unions	normalized_variant	কুচলিবাড়ী
গোকুন্ডা	1	unions	normalized_variant	গোকুণ্ডা
গোতামারী	1	unions	normalized_variant	গোটার
সিংগীমারী	1	unions	normalized_variant	সিংগিমারী
আলাতুলী	1	unions	already_resolves	আলাতুলী
রাণীহাটি	1	unions	normalized_variant	রানীহাটি
দলদলী	1	unions	already_resolves	দলদলী
চককীর্তি	1	unions	normalized_variant	চককীর্তির
তুলশীগংগা	1	unions	normalized_variant	তুলসীগঙ্গা
আমদই	1	unions	normalized_variant	আমোদই
ধলাহার	1	unions	already_resolves	ধলাহার
মোহাম্মাদাবাদ	1	unions	normalized_variant	মহামন্দাবস্থা
মনিয়ারী	1	unions	normalized_variant	মনিয়ার
শাহাগোলা	1	unions	normalized_variant	সাহাগোলা
আড়ানগর	1	unions	normalized_variant	তারানগর
ইসবপুর	1	unions	normalized_variant	ইছবপুর
কীর্ত্তিপুর	1	unions	normalized_variant	কীর্ত্তিপাশা
দুবলহাটী	1	unions	normalized_variant	দুবলহাটি
শৈলগাছী	1	unions	normalized_variant	শৈলগাছি
পাঁড়ইল	1	unions	normalized_variant	পারইল
শিহাড়া	1	unions	normalized_variant	শিয়ারা
ছাওড়	1	unions	normalized_variant	ছাওর
আধাইপুর	1	unions	normalized_variant	আধায়পুর
উত্তরগ্রাম	1	unions	normalized_variant	উত্তরক্রিয়া
খাজুর	1	unions	normalized_variant	খাজুড়
রাইগাঁ	6	unions+news	normalized_variant	রাগা
সফাপুর	1	unions	already_resolves	সফাপুর
কুশুম্বা	1	unions	normalized_variant	কুসুম্বা
গনেশপুর	1	unions	normalized_variant	গণেশপুর
নূরুল্লাবাদ	1	unions	normalized_variant	নূরুল্লাহ
ভারশোঁ	1	unions	normalized_variant	ভারসো
মৈনম	1	unions	normalized_variant	মনোময়
শিরন্টি	1	unions	normalized_variant	শিরনি
বিপ্রবেলঘড়িয়া	1	unions	normalized_variant	বিপ্রবেলঘরিয়া
জোয়াড়ী	1	unions	normalized_variant	জোয়ারী
কদিমচিলান	1	unions	already_resolves	কদিমচিলান
দুড়দুরিয়া	1	unions	normalized_variant	দুড়দুড়িয়া
চামারী	1	unions	already_resolves	চামারী
হাতিয়ান্দহ	1	unions	already_resolves	হাতিয়ান্দহ
দাঁতিয়া	1	unions	normalized_variant	আটিয়া
জাতসাখিনি	1	unions	already_resolves	জাতসাখিনি
পাইকড়	1	unions	normalized_variant	পাইকর
নেপালতলী	1	unions	already_resolves	নেপালতলী
থালতা	1	unions	normalized_variant	থালাটা
ভাটগ্রাম	1	unions	normalized_variant	ভাতগ্রাম
কর্ণিবাড়ী	1	unions	normalized_variant	কর্ণিকার
চুকাইনগর	1	unions	already_resolves	চুকাইনগর
আষাড়িয়াদহ	1	unions	normalized_variant	আষাঢ়িয়াদহ
পাকড়ী	1	unions	normalized_variant	পাকার
সরঞ্জাই	1	unions	already_resolves	সরঞ্জাই
গণকৈড়	1	unions	normalized_variant	গণকের
ভালুকগাছী	1	unions	normalized_variant	ভালুকগাছি
কোয়ালিপাড়া	1	unions	normalized_variant	কোয়ালীপাড়া
ঘাসিগ্রাম	1	unions	normalized_variant	ঘাসিরদা
ধুরইল	1	unions	normalized_variant	ধুরাইল
রায়ঘাটি	1	unions	normalized_variant	রাজগাতী
দুর্গানগর	1	unions	normalized_variant	দুর্গানগরে
উমারপুর	1	unions	already_resolves	উমারপুর
খাষকাউলিয়া	1	unions	normalized_variant	খাসকাউলিয়া
খাষপুকুরিয়া	1	unions	normalized_variant	খাসপুকুরিয়া
