word	count	input	prefixOutputs	riKarLeak
বৃদ্ধি	2761	brriddhi	ব|বড়র|বর|ব্র্রি|ব্র্রিদ|বৃদ্ধদের|বৃদ্ধ|বৃদ্ধি	false
কর্তৃক	2730	kortrrik	ক|কো|কর|কোর্ট|কোর্টর|কোর্ট্র|কর্তৃ|কর্তৃক	false
সৃষ্টি	2474	srrishti	সঃ|সিনিয়ার|স্র্র|স্র্রি|স্র্রিস|স্র্রিশ|সৃষ্ট|সৃষ্টি	false
করিয়াছেন	2458	koriyachhen	ক|কো|কর|করি|কোরীয়|কোরিয়া|করিয়াছ|করিয়াছ|করিয়াছ|করিয়াছে|করিয়াছেন	false
ফেব্রুয়ারি	2443	phebruyari	প|ফ|ফড়ে|ফেব|ফেব্র|ফেব্রু|ফেব্রুয়ারি|ফেব্রুয়া|ফেব্রুয়ার|ফেব্রুয়ারি	false
সামরিক	2409	samorik	সঃ|সা|সাম|শামো|শামর|শামরী|সামরিক	false
বৃহত্তম	2301	brrihottom	ব|বড়র|বর|ব্র্রি|বৃহ|বৃহ|বৃহৎ|বৃহৎ|ব্র্রিহত্ত|বৃহত্তম	false
পরিবর্তন	2269	poriborton	প|পো|পর|পড়ি|পরিব|পরিব|পরিবার|পরিবর্ত|পরিবর্ত|পরিবর্তন	false
পরিচয়	2224	porichoy	প|পো|পর|পড়ি|পড়িছ|পরিচয়|পরিচয়|পরিচয়	false
পারি	2221	pari	প|পা|পর|পারি	false
পরিচালক	2178	porichalok	প|পো|পর|পড়ি|পড়িছ|পরিচয়|পরিচয়া|পরিচাল|পরিচাল|পরিচালক	false
পরিণত	2177	porinot	প|পো|পর|পড়ি|পরিণয়|পরিণয়|পরিণত	false
করিয়াছিলেন	2153	koriyachhilen	ক|কো|কর|করি|কোরীয়|কোরিয়া|করিয়াছ|করিয়াছ|করিয়াছ|করিয়াছি|করিয়াছিল|করিয়াছিলে|করিয়াছিলেন	false
কৃষ্ণ	2090	krrishn	ক|ক্রয়|ক্রয়র|ক্র্রি|কৃষ|কৃষ|কৃষ্ণ	false
ক্রিকেট	2060	kriket	ক|ক্রয়|ক্রি|ক্রিক|ক্রিকে|ক্রিকেট	false
মৃত্যুর	2042	mrrityur	ম|ময়র|মর|ম্র্রি|মৃত|মৃত্য|মৃত্যু|মৃত্যুর	false
পরিমাণ	2021	poriman	প|পো|পর|পড়ি|পরিম|পৃথা|পরিমাণ	true
জনপ্রিয়	2012	jonopriy	জ|জো|জন|জনা|জনপ|জনপ্রতি|জনপ্রি|জনপ্রিয়	false
করিতেন	1961	koriten	ক|কো|কর|করি|করিত|করিতে|করিতেন	false
আমেরিকান	1842	amerikan	আ|আম|আমে|আমের|আমেরি|আমেরিক|আমেরিকা|আমেরিকান	false
বিস্তৃত	1831	bistrrit	ব|বি|বিশ্ব|বিস্ট|বিস্টর|বিস্ট্র|বিস্ত্রোর|বিস্তৃত	false
ক্রিকেটার	1825	kriketar	ক|ক্রয়|ক্রি|ক্রিক|ক্রিকে|ক্রিকেট|ক্রিকেটা|ক্রিকেটার	false
সংস্কৃত	1810	songskrrit	সঃ|সো|সন|সং|সংস|সংস্করণ|সংস্ক্র|সংস্ক্রিয়া|সংস্কৃত|সংস্কৃত	false
করিতেছে	1773	koritechhe	ক|কো|কর|করি|করিত|করিতে|করিতেছ|করিতেছ|করিতেছ|করিতেছে	false
প্রাকৃতিক	1747	prakrritik	প|প্র|প্রায়|প্রাক|প্রাকর|প্রাক্র|প্রাকৃত|প্রাকৃত|প্রাকৃতি|প্রাকৃতিক	false
করিয়াছে	1737	koriyachhe	ক|কো|কর|করি|কোরীয়|কোরিয়া|করিয়াছ|করিয়াছ|করিয়াছ|করিয়াছে	false
সংস্কৃতি	1722	songskrriti	সঃ|সো|সন|সং|সংস|সংস্করণ|সংস্ক্র|সংস্ক্রিয়া|সংস্কৃত|সংস্কৃত|সংস্কৃতি	false
কৃষি	1690	krrishi	ক|ক্রয়|ক্রয়র|ক্র্রি|কৃষ|কৃষ|কৃষি	false
পরিবার	1662	poribar	প|পো|পর|পড়ি|পরিব|পরিবা|পরিবার	false
পরিচালিত	1591	porichalit	প|পো|পর|পড়ি|পড়িছ|পরিচয়|পরিচয়া|পরিচাল|পরিচালি|পরিচালিত	false
বৃহৎ	1569	brrihot	ব|বড়র|বর|ব্র্রি|বৃহ|বৃহ|বৃহৎ	false
হৃদয়ে	1520	hrridoye	হ|এচার|হরর|হ্র্রি|হৃদ|হৃদ|হৃদয়|হৃদয়ে	false
ফিরিয়া	1508	phiriya	প|ফ|ফি|ফির|ফিরি|ফিরিয়|ফিরিয়া	false
চারি	1463	chari	ছ|চ|চায়|চার|চারি	false
ধরিয়া	1457	dhoriya	দ|ঢ|ধোয়|ধর|ধরি|ধরিয়|ধরিয়া	false
করিত	1454	korit	ক|কো|কর|করি|করিত	false
করিবেন	1434	koriben	ক|কো|কর|করি|করিব|করিবে|করিবেন	false
পৃথিবী	1409	prrithibii	প|প্র|প্রর|প্র্রি|প্রিট|পৃথক|পৃথি|পৃথিবী|পৃথিবী|পৃথিবী	false
সাংস্কৃতিক	1404	sangskrritik	সঃ|সা|সান|সাঙ|সাঁস|সাংস্ক|সাংস্কৃতিক|সাংস্ক্র্র|সাংস্কৃতি|সাংস্কৃতি|সাংস্কৃতি|সাংস্কৃতিক	false
গ্রিক	1363	grik	গ|গড়র|গড়ি|গ্রিক	false
খ্রিষ্টাব্দে	1313	khrishtabde	ক|খ|খর|খ্রি|খ্রিস|খ্রীষ্ট|খ্রিষ্ট|খ্রিষ্টা|খ্রিশ্তাব|খ্রিষ্টাব্দ|খ্রিষ্টাব্দে	false
পৃথক	1270	prrithok	প|প্র|প্রর|প্র্রি|প্রিট|পৃথক|পৃথক|পৃথক	false
পরিচালনা	1258	porichalona	প|পো|পর|পড়ি|পড়িছ|পরিচয়|পরিচয়া|পরিচাল|পরিচাল|পরিচালন|পরিচালনা	false
করিলাম	1219	korilam	ক|কো|কর|করি|করিল|করিলা|করিলাম	false
দৃষ্টি	1198	drrishti	দ|ড্র|ড্রর|দ্র্রি|দৃশ্য|দৃশ্য|দৃষ্ট|দৃষ্টি	false
পরিবারের	1184	poribarer	প|পো|পর|পড়ি|পরিব|পরিবা|পরিবার|পরিবারে|পরিবারের	false
আমেরিকার	1183	amerikar	আ|আম|আমে|আমের|আমেরি|আমেরিক|আমেরিকা|আমেরিকার	false
গৃহে	1180	grrihe	গ|গড়র|গর|গ্র্রি|গৃহ|গৃহে	false
প্রকৃত	1168	prokrrit	প|প্র|প্রো|প্রক|প্রকর|প্রকর|প্রকৃত|প্রকৃত	false
প্রকৃতি	1159	prokrriti	প|প্র|প্রো|প্রক|প্রকর|প্রকর|প্রকৃত|প্রকৃত|প্রকৃতি	false
করিয়াছি	1145	koriyachhi	ক|কো|কর|করি|কোরীয়|কোরিয়া|করিয়াছ|করিয়াছ|করিয়াছ|করিয়াছি	false
পরিবহন	1130	poribohon	প|পো|পর|পড়ি|পরিব|পরিব|পরিবহ|পরিবহ|পরিবহন	false
পরিষদ	1115	porishod	প|পো|পর|পড়ি|পরিস|পরিস|পরিশ|পরিষদ	false
পরিকল্পনা	1111	porikolpona	প|পো|পর|পড়ি|পরিক|পৃথক|পৃথক|পরিকল্প|পরিকল্প|পরিকল্পন|পরিকল্পনা	true
তারিখে	1100	tarikhe	ত|তা|তার|তারি|তারিখ|তারিখ|তারিখে	false
আফ্রিকা	1090	afrika	আ|আফ|আফর|আফ্রি|আফ্রিক|আফ্রিকা	false
ডিগ্রি	1059	digri	দ|দি|দিগ|দিগর|ডিগ্রি	false
আমেরিকা	1058	amerika	আ|আম|আমে|আমের|আমেরি|আমেরিক|আমেরিকা	false
আফ্রিকার	1054	afrikar	আ|আফ|আফর|আফ্রি|আফ্রিক|আফ্রিকা|আফ্রিকার	false
করিও	1043	korio	ক|কো|কর|করি|করিও	false
নেতৃত্বে	1033	netrritbe	ন|নে|নেট|নেত্র|নেট্র|নেত্র্রি|নেতৃত্ব|নেতৃত্ব|নেতৃত্বে	false
খ্রিস্টপূর্ব	1032	khristopuurb	ক|খ|খর|খ্রি|খ্রিস|খ্রিষ্ট|খ্রিষ্ট|খ্রিস্তপ|খ্রিস্টপূর্ব|খ্রিস্টপূর্ব|খ্রিস্টপূর্ব|খ্রিস্টপূর্ব	false
চরিত্র	1031	choritr	ছ|চ|চো|চর|চড়ি|চরিত|চরিত্র	false
সরাসরি	1024	sorasori	সঃ|সো|সর|সরা|সরাস|সরাস|সরাসর|সরাসরি	false
পরিমাণে	998	porimane	প|পো|পর|পড়ি|পরিম|পৃথা|পরিমাণ|পরিমাণে	true
স্বীকৃতি	994	swiikrriti	সঃ|স্ব|সই|সোই|সওয়ীক|স্বীকর|স্বীকর|স্বীকৃত|স্বীকৃত|স্বীকৃতি	false
প্রিয়	978	priy	প|প্র|প্রিয়|প্রিয়	false
হরি	976	hori	হ|হো|হর|হরি	false
বরিশাল	974	borishal	ব|বো|বড়|বড়ি|বরিস|বরিশ|বরিষা|বরিশাল	false
পৃষ্ঠা	964	prrishtha	প|প্র|প্রর|প্র্রি|প্র্রিস|পৃষ্ঠ|পৃষ্ট|পৃষ্ঠ|পৃষ্ঠা	false
স্মৃতি	961	smrriti	সঃ|সম|স্মর|স্মর|স্ম্র্রি|স্মৃত|স্মৃতি	false
বৃক্ষ	956	brrikkh	ব|বড়র|বর|ব্র্রি|বৃক|বৃক্ক|বৃক্ষ	false
পরিবর্তে	948	poriborte	প|পো|পর|পড়ি|পরিব|পরিব|পরিবার|পরিবর্ত|পরিবর্তে	false
পরিত্যাগ	936	porityag	প|পো|পর|পড়ি|পড়িত|পৃথকত্ব|পরিত্যা|পরিত্যাগ	true
গৃহ	930	grrih	গ|গড়র|গর|গ্র্রি|গৃহ	false
আফ্রিকান	910	afrikan	আ|আফ|আফর|আফ্রি|আফ্রিক|আফ্রিকা|আফ্রিকান	false
রাত্রি	908	ratri	র|রা|রাত|রাত্র|রাত্রি	false
চারিদিকে	907	charidike	ছ|চ|চায়|চার|চারি|চারিদ|চারিদি|চারিদিক|চারিদিকে	false
খ্রিস্টান	904	khristan	ক|খ|খর|খ্রি|খ্রিস|খ্রিষ্ট|খ্রিষ্টা|খ্রিস্টান	false
অতিরিক্ত	898	otirikt	ও|অত|অতি|ওটির|ওটিরি|ওতিরিক|অতিরিক্ত	false
পত্রিকা	890	potrika	প|পো|পট|পত্র|পত্রী|পত্রিক|পত্রিকা	false
করিতেছেন	881	koritechhen	ক|কো|কর|করি|করিত|করিতে|করিতেছ|করিতেছ|করিতেছ|করিতেছে|করিতেছেন	false
প্রকৃতির	870	prokrritir	প|প্র|প্রো|প্রক|প্রকর|প্রকর|প্রকৃত|প্রকৃত|প্রকৃতি|প্রকৃতির	false
করিয়াছিল	866	koriyachhil	ক|কো|কর|করি|কোরীয়|কোরিয়া|করিয়াছ|করিয়াছ|করিয়াছ|করিয়াছি|করিয়াছিল	false
গৃহীত	857	grrihiit	গ|গড়র|গর|গ্র্রি|গৃহ|গৃহী|গৃহী|গৃহীত	false
পৃথিবীতে	854	prrithibiite	প|প্র|প্রর|প্র্রি|প্রিট|পৃথক|পৃথি|পৃথিবী|পৃথিবী|পৃথিবী|পৃথিবীতে|পৃথিবীতে	false
বৃহত্তর	838	brrihottor	ব|বড়র|বর|ব্র্রি|বৃহ|বৃহ|বৃহৎ|বৃহৎ|ব্র্রিহত্ত|বৃহত্তর	false
আদমশুমারি	798	adomoshumari	আ|আদ|আদৌ|আদম|আদম|আদমস|আদমশ|আদমশু|আদমশুমারি|আদমশুমারি|আদমশুমার|আদমশুমারি	false
বেসরকারি	798	besorokari	ব|বে|বেস|বেসো|বেসর|বেশরা|বেসরক|বেসরকারি|বেসরকারি|বেসরকারি	false
দৃশ্য	796	drrishy	দ|ড্র|ড্রর|দ্র্রি|দৃশ্য|দৃশ্য|দৃশ্য	false
পরিপূর্ণ	793	poripuurn	প|পো|পর|পড়ি|পরিপ|পরিপু|পরিপূ|পরিপূর|পরিপূর্ণ	false
পরিষ্কার	781	porishkar	প|পো|পর|পড়ি|পরিস|পরিস|পরিশ্ক|পরিশ্কা|পরিষ্কার	false
প্রসারিত	779	prosarit	প|প্র|প্রো|প্রস্হ|প্রশাঃ|প্রসার|প্রসারী|প্রসারিত	false
প্রক্রিয়া	765	prokriya	প|প্র|প্রো|প্রক|প্রকর|প্রকৃত|প্রক্রিয়|প্রক্রিয়া	true
মরি	765	mori	ম|মো|মোড়|মরি	false
পরিবর্তিত	762	poribortit	প|পো|পর|পড়ি|পরিব|পরিব|পরিবার|পরিবর্ত|পরিবর্তী|পরিবর্তিত	false
খ্রিস্টাব্দে	756	khristabde	ক|খ|খর|খ্রি|খ্রিস|খ্রিষ্ট|খ্রিষ্টা|খ্রিস্তাব|খ্রিষ্টাব্দ|খ্রিস্টাব্দে	false
ক্রিয়া	754	kriya	ক|ক্রয়|ক্রি|ক্রিয়|ক্রিয়া	false
ধরি	752	dhori	দ|ঢ|ধোয়|ধর|ধরি	false
হৃদয়ের	746	hrridoyer	হ|এচার|হরর|হ্র্রি|হৃদ|হৃদ|হৃদয়|হৃদয়ে|হৃদয়ের	false
সক্রিয়	737	sokriy	সঃ|সো|শোক|শক্র|সক্রি|সক্রিয়	false
নৃত্য	719	nrrity	ন|নর|নর|নৃ|নৃত্য|নৃত্য	false
করিয়াছ	717	koriyachh	ক|কো|কর|করি|কোরীয়|কোরিয়া|করিয়াছ|করিয়াছ|করিয়াছ	false
তারি	709	tari	ত|তা|তার|তারি	false
সমৃদ্ধ	698	somrriddh	সঃ|সো|সময়|সময়র|সময়্র|সমৃদ্ধ|সমৃদ্ধ|সমৃদ্দ|সমৃদ্ধ	false
চরিত্রে	693	choritre	ছ|চ|চো|চর|চড়ি|চরিত|চরিত্র|চরিত্রে	false
সংস্কৃতির	690	songskrritir	সঃ|সো|সন|সং|সংস|সংস্করণ|সংস্ক্র|সংস্ক্রিয়া|সংস্কৃত|সংস্কৃত|সংস্কৃতি|সংস্কৃতির	false
দৃঢ়	690	drrirh	দ|ড্র|ড্রর|দ্র্রি|ড্রির|দৃঢ়	false
বৃদ্ধ	690	brriddh	ব|বড়র|বর|ব্র্রি|ব্র্রিদ|বৃদ্ধদের|বৃদ্ধ	false
পরিবেশ	679	poribesh	প|পো|পর|পড়ি|পরিব|পরিবে|পরিবেশ|পরিবেশ	false
সারি	678	sari	সঃ|সা|সার|সারি	false
মৃত	670	mrrit	ম|ময়র|মর|ম্র্রি|মৃত	false
বিস্তারিত	667	bistarit	ব|বি|বিশ্ব|বিস্ট|বিস্টা|বিস্তার|বিস্তারি|বিস্তারিত	false
করিতেছি	661	koritechhi	ক|কো|কর|করি|করিত|করিতে|করিতেছ|করিতেছ|করিতেছ|করিতেছি	false
নাগরিক	649	nagorik	ন|না|নাগ|নাগা|নাগর|নাগরি|নাগরিক	false
বৃষ্টি	633	brrishti	ব|বড়র|বর|ব্র্রি|বৃষ|বৃষ|বৃষ্টি|বৃষ্টি	false
চুরি	622	churi	ছ|চ|চু|চুর|চুরি	false
ফরিদপুর	601	phoridopur	প|ফ|ফো|ফর|ফরি|ফরিদ|ফরিদ|ফরিদপ|ফরিদপু|ফরিদপুর	false
স্বীকৃত	600	swiikrrit	সঃ|স্ব|সই|সোই|সওয়ীক|স্বীকর|স্বীকর|স্বীকৃত|স্বীকৃত	false
হারিয়ে	600	hariye	হ|হা|হার|হ্যারি|হারিয়|হারিয়ে	false
ভারি	595	bhari	ব|ভ|ভা|ভার|ভারী	false
পরিসংখ্যান	593	porisongkhyan	প|পো|পর|পড়ি|পরিস|পরিস|পরিসন|পরিসং|পরিসংক|পরিসংখ|পরিসংখ্য|পরিসংখ্যা|পরিসংখ্যান	false
মুদ্রিত	592	mudrit	ম|মু-|মুড|মুদ্র|মুদ্রি|মুদ্রিত	false
বৃদ্ধির	587	brriddhir	ব|বড়র|বর|ব্র্রি|ব্র্রিদ|বৃদ্ধদের|বৃদ্ধ|বৃদ্ধি|বৃদ্ধির	false
পরিষেবা	579	porisheba	প|পো|পর|পড়ি|পরিস|পরিস|পরিশে|পৃষ্ঠতলে|পরিষেবা	true
খ্রিষ্টাব্দের	567	khrishtabder	ক|খ|খর|খ্রি|খ্রিস|খ্রীষ্ট|খ্রিষ্ট|খ্রিষ্টা|খ্রিশ্তাব|খ্রিষ্টাব্দ|খ্রিষ্টাব্দে|খ্রিষ্টাব্দের	false
ইঞ্জিনিয়ারিং	557	injiniyaring	ঈ|ইন|ইন্জ|ইঞ্জি|ইঞ্জিন|ইঞ্জিনি|ইন্জিনিয়|ইঞ্জিনিয়ার|ইঞ্জিনিয়ার|ইঞ্জিনিয়ারি|ইন্জিনিয়ারিন|ইঞ্জিনিয়ারিং	false
একত্রিত	555	ekotrit	এ|এক|একা|একট|একত্র|একত্রী|একত্রিত	false
গৃহের	553	grriher	গ|গড়র|গর|গ্র্রি|গৃহ|গৃহে|গৃহের	false
পরিমাপ	547	porimap	প|পো|পর|পড়ি|পরিম|পৃথা|পরিমাপ	true
দরিদ্র	545	doridr	দ|ডঃ|দর|দড়ি|দরিদ|দরিদ্র	false
মৃদু	545	mrridu	ম|ময়র|মর|ম্র্রি|ম্র্রিদ|মৃদু	false
কৃষ্ণের	542	krrishner	ক|ক্রয়|ক্রয়র|ক্র্রি|কৃষ|কৃষ|কৃষ্ণ|কৃষ্ণে|কৃষ্ণের	false
ত্রিপুরা	540	tripura	ত|ত্রয়|ট্রি|ট্রিপ|ট্রিপু|ত্রিপুর|ত্রিপুরা	false
গণতান্ত্রিক	535	gonotantrik	গ|গো|গণ|গোনা|গৌণত|গৌণতা|গনতন্ত্র|গনতন্ত্র|গনতন্ত্র|গনতন্ত্র|গণতান্ত্রিক	false
মৃত্যুবরণ	533	mrrityuboron	ম|ময়র|মর|ম্র্রি|মৃত|মৃত্য|মৃত্যু|মৃত্যুবরণ|ম্র্রিত্যুব|মৃত্যুবরণ|মৃত্যুবরণ|মৃত্যুবরণ	false
আবিষ্কৃত	533	abishkrrit	আ|আব|আবি|আবিস|আবিশ|আবিষ্কার|আবিষ্কার|আবিষ্ক্রিয়া|আবিষ্কৃত|আবিষ্কৃত	false
নির্ধারিত	533	nirdharit	ন|নি|নির|নিরদ|নির্ধ|নির্ধারণ|নির্ধার্য|নির্ধারণ|নির্ধারিত	false
পরিবর্তনের	532	poribortoner	প|পো|পর|পড়ি|পরিব|পরিব|পরিবার|পরিবর্ত|পরিবর্ত|পরিবর্তন|পরিবর্তনে|পরিবর্তনের	false
নেতৃত্ব	528	netrritb	ন|নে|নেট|নেত্র|নেট্র|নেত্র্রি|নেতৃত্ব|নেতৃত্ব	false
রূপান্তরিত	528	ruupantorit	র|রু|রূঢ়|রূপ|রূপা|রূপান|রূপান্তর|রূপান্ত|রূপান্তর|রূপান্তরি|রূপান্তরিত	false
পরিষদের	527	porishoder	প|পো|পর|পড়ি|পরিস|পরিস|পরিশ|পরিষদ|পরিষদে|পরিষদের	false
বিক্রি	515	bikri	ব|বি|বিক|বিক্র|বিক্রি	false
মিশ্রিত	513	mishrit	ম|মি|মিস|মিশ|মিশ্র|মিশ্রি|মিশ্রিত	false
কৃষক	509	krrishok	ক|ক্রয়|ক্রয়র|ক্র্রি|কৃষ|কৃষ|কৃশ|কৃষক	false
শারীরিক	508	shariirik	সঃ|শ|শা|সার|সারি|শাড়ী|শরীর|শরীরি|শারীরিক	false
প্রেরিত	503	prerit	প|প্র|প্রে|প্রের|প্রেরি|প্রেরিত	false
জনপ্রিয়তা	500	jonopriyota	জ|জো|জন|জনা|জনপ|জনপ্রতি|জনপ্রি|জনপ্রিয়|জনপ্রিয়|জনপ্রিয়ত|জনপ্রিয়তা	false
সামুদ্রিক	499	samudrik	সঃ|সা|সাম|সামু|সামুদ|সামুদ্র|সামুদ্রি|সামুদ্রিক	false
বেরিয়ে	493	beriye	ব|বে|বের|বেরি|বেরিয়|বেরিয়ে	false
প্যারিস	491	pyaris	প|পয়|প্যা|প্যার|প্যারি|প্যারিস	false
রিচার্ড	483	richard	র|রি|রিচ|রিচ|রিচা|রিচার|রিচার্ড	false
অমৃত	482	omrrit	ও|ওম|অম্র|ওম্র|ওম্র্রি|অমৃত	false
তোমারি	478	tomari	ত|তো|তম|তোমায়|তোমার|তোমারি	false
উৎকৃষ্ট	477	utokrrisht	উ|উট|উত|উটক|উতক্র|উটক্র|উতকৃষ্ট|উতকৃষ্ট|উতকৃষ্ট|উৎকৃষ্ট	false
তৈরির	476	toirir	ত|তো|টয়|তৈয়র|তৈরী|তৈরির	false
পারিল	474	paril	প|পা|পর|পারি|পারিল	false
স্থানান্তরিত	473	sthanantorit	সঃ|স্ট্রিট|স্থ|স্থা|স্থান|স্থানা|স্থানান|স্থানান্তর|স্থানান্ত|স্থানান্তর|স্থানান্তরি|স্থানান্তরিত	false
কৃত্রিম	468	krritrim	ক|ক্রয়|ক্রয়র|ক্র্রি|কৃত|ক্র্রিত্র|ক্র্রিত্রি|কৃত্রিম	false
খৃষ্টাব্দে	467	khrrishtabde	ক|খ|খর|খ্র|খ্র্রি|খ্র্রিস|খ্রিষ্ট|খৃষ্ট|খৃষ্টা|খ্র্রিশ্তাব|খৃষ্টাব্দ|খৃষ্টাব্দে	false
প্রতিক্রিয়া	466	protikriya	প|প্র|প্রো|প্রতয়|প্রতি|প্রতীক|প্রতীকর|প্রতিক্রি|প্রতিকৃত|প্রতিক্রিয়া	true
কর্তৃপক্ষ	460	kortrripokkh	ক|কো|কর|কোর্ট|কোর্টর|কোর্ট্র|কর্তৃ|কর্তৃপ|কর্তৃপ|কর্ত্র্রিপক|কর্তৃপক্ষকে|কর্তৃপক্ষ	false
সৃষ্ট	457	srrisht	সঃ|সিনিয়ার|স্র্র|স্র্রি|স্র্রিস|স্র্রিশ|সৃষ্ট	false
আকৃতি	457	akrriti	আ|এক|একর|আক্র্র|আক্র্রি|অকৃত|আকৃতি	false
সৃষ্টির	452	srrishtir	সঃ|সিনিয়ার|স্র্র|স্র্রি|স্র্রিস|স্র্রিশ|সৃষ্ট|সৃষ্টি|সৃষ্টির	false
হ্যারি	447	hyari	হ|হ্য|হ্যাঁ|হ্যার|হ্যারি	false
বৃষ্টিপাত	446	brrishtipat	ব|বড়র|বর|ব্র্রি|বৃষ|বৃষ|বৃষ্টি|বৃষ্টি|বৃষ্টিপাত|বৃষ্টিপাত|বৃষ্টিপাত	false
দৃষ্টিতে	441	drrishtite	দ|ড্র|ড্রর|দ্র্রি|দৃশ্য|দৃশ্য|দৃষ্ট|দৃষ্টি|দৃষ্টিতে|দৃষ্টিতে	false
বৃথা	432	brritha	ব|বড়র|বর|ব্র্রি|বৃত|বৃথা|বৃথা	false
করিছে	431	korichhe	ক|কো|কর|করি|করিছ|করিছ|করিছ|করিছে	false
পরিচিতি	429	porichiti	প|পো|পর|পড়ি|পড়িছ|পরিচয়|পড়িচি|পরিচিত|পরিচিতি	false
সিরিজ	427	sirij	সঃ|সিই|সির|সিরি|সিরিজ	false
অপেক্ষাকৃত	425	opekkhakrrit	ও|অপ|ওপে|ওপেক|ওপেক|ওপেক্ষ|অপেক্ষা|অপেক্ষাকে|অপেক্ষাকৃত|অপেক্ষাকৃত|অপেক্ষাকৃত|অপেক্ষাকৃত	false
মারিয়া	424	mariya	ম|মা|মার|মারি|মাড়িয়|মারিয়া	false
প্রবৃত্ত	421	probrritt	প|প্র|প্রো|প্রোব|প্রোবর|প্রোব্র|প্রব্র্রি|প্রবৃত্ত|প্রবৃত্ত	false
দৃষ্ট	420	drrisht	দ|ড্র|ড্রর|দ্র্রি|দৃশ্য|দৃশ্য|দৃষ্ট	false
করিতেছ	420	koritechh	ক|কো|কর|করি|করিত|করিতে|করিতেছ|করিতেছ|করিতেছ	false
সরিয়ে	419	soriye	সঃ|সো|সর|সরি|সরিয়|সরিয়ে	false
হেনরি	417	henori	হ|হয়ে|হেন|হেনা|হেনার|হেনরি	false
চাকরি	415	chakori	ছ|চ|চায়|চাক|চাকা|চা-কর|চাকরি	false
আইরিশ	414	airish	আ|আই|আইর|আইরি|আইরিশ|আইরিশ	false
হেরি	414	heri	হ|হয়ে|হের|হেরি	false
ফিরিয়ে	413	phiriye	প|ফ|ফি|ফির|ফিরি|ফিরিয়|ফিরিয়ে	false
দৃষ্টিভঙ্গি	409	drrishtibhongoi	দ|ড্র|ড্রর|দ্র্রি|দৃশ্য|দৃশ্য|দৃষ্ট|দৃষ্টি|দ্র্রিশ্তিব|দ্র্রিশ্তিভ|দৃষ্টিকোণ|দৃষ্টিকোণ|দৃষ্টিভঙ্গি|দৃষ্টিভঙ্গি|দৃষ্টিভঙ্গি	false
বেসামরিক	409	besamorik	ব|বে|বেস|বেশ্যা|বেসাম|বেসামাল|বেসামরিক|বেসামরিক|বেসামরিক	false
জারি	407	jari	জ|জা|যার|জারি	false
পত্রিকায়	407	potrikay	প|পো|পট|পত্র|পত্রী|পত্রিক|পত্রিকা|পত্রিকায়	false
খ্রিস্টীয়	404	khristiiy	ক|খ|খর|খ্রি|খ্রিস|খ্রিষ্ট|খ্রিষ্টি|খ্রিষ্টী|খ্রিষ্টীয়	false
